Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
0077R_2019,Species richness,53,59.04543396226415,6.317644381175254,53,71.42778941649948
0077R_2019,Shannon diversity,14.817075622025595,15.178201078243688,0.49830838677679523,14.201534586966915,16.154867569520462
0077R_2019,Simpson diversity,9.783202286949784,9.84853588430792,0.30954419786739784,9.24184040486448,10.45523136375136
0078F_2020,Species richness,56,64.98706896551724,6.626506607033494,56,77.9747832586196
0078F_2020,Shannon diversity,17.248126757004854,18.140519822533815,1.0983213327725785,15.98784956684753,20.2931900782201
0078F_2020,Simpson diversity,7.908057986156458,7.987450462351373,0.5806025402956793,6.8494903940393765,9.12541053066337
0078S_2019,Species richness,46,71.71526151444183,20.632057161233657,46,112.1533504774315
0078S_2019,Shannon diversity,18.272211785175614,20.289091835392007,1.3869865451659267,17.570648159825154,23.00753551095886
0078S_2019,Simpson diversity,11.283355795148246,11.610464105684004,0.9194215124536751,9.808431054663457,13.412497156704552
0078S_2020,Species richness,68,86.04144813519814,15.89127204132969,68,117.18776900473263
0078S_2020,Shannon diversity,25.428145073361595,26.835270673650186,1.1964486468909106,24.49027441639232,29.18026693090805
0078S_2020,Simpson diversity,14.127115716753027,14.34687426832123,0.8426156817264767,12.695377879328671,15.998370657313789
00792_2019,Species richness,74,113.01826160815402,21.58909733144296,74,155.332114836512
00792_2019,Shannon diversity,20.954310764273227,22.405502856958808,1.2875492175425678,19.88195276225265,24.929052951664968
00792_2019,Simpson diversity,8.826101721776338,8.905118002195376,0.7870077407515688,7.362611174768066,10.447624829622686
007BY_2019,Species richness,48,55.187543252595155,6.645662794999559,48,68.21280298419208
007BY_2019,Shannon diversity,16.88333568720328,17.785658094621102,0.8972056603697696,16.027167313570878,19.544148875671326
007BY_2019,Simpson diversity,8.822796175989014,8.944057069298465,0.6117636991505653,7.745022251914361,10.14309188668257
007C6_2019,Species richness,64,80.03644179894181,13.19094907888373,64,105.89022691545571
007C6_2019,Shannon diversity,19.637829170629566,20.67917108593447,0.9880022118568402,18.74272233404915,22.61561983781979
007C6_2019,Simpson diversity,9.337779895188184,9.431507949253238,0.6141952816653367,8.227707317714744,10.635308580791731
007C6_2020,Species richness,45,70.67111111111112,15.550516951169019,45,101.149564276382
007C6_2020,Shannon diversity,21.289378308380115,25.192156593735177,2.333105799740747,20.619353254121794,29.76495993334856
007C6_2020,Simpson diversity,12.659414853713425,13.354531001589827,1.48808875905447,10.437930628044166,16.27113137513549
007CQ_2020,Species richness,74,129.93893129770993,24.66789642678629,81.59074272684452,178.28711986857533
007CQ_2020,Shannon diversity,22.41316747217973,24.066135907243172,1.128039498684393,21.855219116683145,26.2770526978032
007CQ_2020,Simpson diversity,12.071505476679251,12.219196415582948,0.6256205240354518,10.993002720484387,13.445390110681508
007F5_2019,Species richness,52,72.58923933209647,19.68497217207684,52,111.17107582604027
007F5_2019,Shannon diversity,24.890151979902466,27.539548626131324,1.7521352434190887,24.10542665298659,30.97367059927606
007F5_2019,Simpson diversity,14.394969408565604,14.915254237288096,1.4359588248832051,12.100826657234558,17.729681817341636
007R5_2019,Species richness,74,94.15108191653786,11.825614498585301,74,117.32886042881974
007R5_2019,Shannon diversity,21.583079944283824,22.458991156181828,0.8642785167408851,20.765036390757995,24.15294592160566
007R5_2019,Simpson diversity,12.789178619983806,12.906859417427851,0.5158070786119683,11.895896120377573,13.91782271447813
007V7_2019,Species richness,60,91.9438596491228,17.922766626142636,60,127.07183673967882
007V7_2019,Shannon diversity,27.349877449414436,29.658947064638003,1.5788776192313572,26.5644037949482,32.75349033432781
007V7_2019,Simpson diversity,16.649584913395508,17.12046030405408,1.0511136583722904,15.060315389986254,19.180605218121908
007XH_2019,Species richness,59,76.96923076923076,10.79136645772171,59,98.11992037033889
007XH_2019,Shannon diversity,27.307527389496453,29.331498632359935,1.5199762356037183,26.352399953219876,32.31059731149999
007XH_2019,Simpson diversity,18.76953874842319,19.358567543064318,1.1350776361485015,17.133856256556395,21.58327882957224
007XH_2020,Species richness,55,73.72983870967742,11.937481377009213,55,97.12687227473309
007XH_2020,Shannon diversity,17.056609022269484,17.789716812139805,0.916212616643495,15.993973081337353,19.585460542942258
007XH_2020,Simpson diversity,9.375406495252133,9.460699502858038,0.529908296003851,8.4220983275815,10.499300678134576
00MBG_2019,Species richness,51,64.97701149425288,13.60988512190424,51,91.6518961669127
00MBG_2019,Shannon diversity,19.54424442851583,20.70343631431241,1.0655107513761513,18.61507361647494,22.791799012149877
00MBG_2019,Simpson diversity,11.944253003123892,12.16319558504695,0.7141385645397624,10.763509718577883,13.562881451516017
00MBG_2020,Species richness,49,66.95135135135135,11.334944509383478,49,89.167434356503
00MBG_2020,Shannon diversity,20.075795096457654,22.17172263353317,1.7001743150427282,18.83944220860937,25.504003058456973
00MBG_2020,Simpson diversity,11.537165009270181,11.876304801670106,1.0142923877180536,9.888328251949584,13.864281351390627
00MDP_2019,Species richness,59,75.0371643120784,13.13289493973438,59,100.7771654067061
00MDP_2019,Shannon diversity,16.980234129674297,17.792627594830407,0.801204916284702,16.222294814675962,19.36296037498485
00MDP_2019,Simpson diversity,9.204123039020324,9.291541559868136,0.4741008111004906,8.362321045069947,10.220762074666325
00MJ8_2019,Species richness,52,75.10138248847926,18.6832241656021,52,111.71982896814777
00MJ8_2019,Shannon diversity,14.083090504937564,15.134979235757646,1.061002124532596,13.055453284153277,17.214505187362015
00MJ8_2019,Simpson diversity,6.488642520735215,6.553217508644689,0.4732672242829662,5.6256307939868355,7.480804223302543
00MJ9_2019,Species richness,54,70.04512508767829,13.030177873271928,54,95.58380443144198
00MJ9_2019,Shannon diversity,20.976909310198803,22.31168067085873,1.1971190797603168,19.96537038932278,24.657990952394684
00MJ9_2019,Simpson diversity,12.220400013093721,12.449395417195541,0.8336623776475836,10.815447181740248,14.083343652650834
00MJC_2019,Species richness,58,83.75490698071343,14.110077483358285,58,111.41015066716523
00MJC_2019,Shannon diversity,12.533677980993604,13.218152824662823,0.7844575265659401,11.680644325192208,14.755661324133438
00MJC_2019,Simpson diversity,5.550336314876289,5.580712052574482,0.3620538710238913,4.871099504904345,6.2903246002446185
00MJC_2020,Species richness,46,72.92913385826772,16.16317573648868,46,104.60837617757718
00MJC_2020,Shannon diversity,20.701231124522884,22.891931069272008,1.5488258035040126,19.856288276077834,25.927573862466183
00MJC_2020,Simpson diversity,13.884361549497845,14.371649791542563,1.0794463132382592,12.255973894351033,16.487325688734092
00NCQ_2019,Species richness,71,83.78805970149254,16.965368253334987,71,117.03957046248831
00NCQ_2019,Shannon diversity,21.137993026486498,22.051583367670627,1.0465854152521274,20.00031364703156,24.102853088309693
00NCQ_2019,Simpson diversity,9.640967130320979,9.719384386163933,0.6314543939993985,8.481756516045547,10.957012256282319
00NCQ_2020,Species richness,75,91.18133640552995,8.84299081253713,75,108.5132799137213
00NCQ_2020,Shannon diversity,29.712635442373465,31.45063830781089,1.2349949736102739,29.03009263844676,33.87118397717502
